Title,Score,URL
Asbestosis,69 points,https://diamondgeezer.blogspot.com/2025/10/asbestosis.html
Advent of Code 2025: Number of puzzles reduce from 25 to 12 for the first time,91 points,https://adventofcode.com/2025/about#faq_num_days
A worker fell into a nuclear reactor pool,438 points,https://www.nrc.gov/reading-rm/doc-collections/event-status/event/2025/20251022en?brid=vscAjql9kZL1FfGE7TYHVw#en57996:~:text=TRANSPORT%20OF%20CONTAMINATED%20PERSON%20OFFSITE
Pico-Banana-400k,240 points,https://github.com/apple/pico-banana-400k
Clojure Land – Discover open-source Clojure libraries and frameworks,67 points,https://clojure.land/
Writing a RISC-V Emulator in Rust,26 points,https://book.rvemu.app/
LaserTweezer – Optical Trap,19 points,https://www.gaudi.ch/GaudiLabs/?page_id=578
The Linux Boot Process: From Power Button to Kernel,266 points,https://www.0xkato.xyz/linux-boot/
Eavesdropping on Internal Networks via Unencrypted Satellites,21 points,https://satcom.sysnet.ucsd.edu/
What If Tariffs?,147 points,https://www.swatch.com/en-en/what-if-tariffs-so34z106/SO34Z106.html
"California invests in battery energy storage, leaving rolling blackouts behind",272 points,https://www.latimes.com/environment/story/2025-10-17/california-made-it-through-another-summer-without-a-flex-alert
The Journey Before main(),233 points,https://amit.prasad.me/blog/before-main
Connect to a 1980s Atari BBS through the web,4 points,https://www.southernamis.com/ataribbsconnect
D2: Diagram Scripting Language,149 points,https://d2lang.com/tour/intro/
Bitmovin (YC S15) Is Hiring Engineering ICs and Managers in Europe,0 points,https://bitmovin.com/careers
PCB Edge USB C Connector Library,83 points,https://github.com/AnasMalas/pcb-edge-usb-c
GenAI Image Editing Showdown,95 points,https://genai-showdown.specr.net/
Why I code as a CTO,182 points,https://www.assembled.com/blog/why-i-code-as-a-cto
Show HN: Diagram as code tool with draggable customizations,191 points,https://github.com/RohanAdwankar/oxdraw
Project Amplify: Powered footwear for running and walking,82 points,https://about.nike.com/en/newsroom/releases/nike-project-amplify-official-images
